rank,lat,lon,H
1,48.875,-22.625,1.0
2,48.875,-22.125,0.9992193159465775
3,48.875,-22.375,0.9977694741330784
4,48.875,-22.875,0.9943121590393498
5,50.375,-22.125,0.9866168447984701
6,50.625,-22.125,0.9863937922117779
7,50.625,-22.375,0.9855015818650092
8,48.875,-23.125,0.9822673193579728
9,50.375,-22.375,0.9813007581489734
10,49.125,-21.875,0.9800739689221665
11,51.625,-22.125,0.9779549693485909
12,49.625,-21.875,0.9769884081395914
13,50.875,-22.375,0.9768025309840148
14,50.875,-22.625,0.9755757417572078
15,51.375,-22.125,0.9750552857215928
16,50.625,-22.625,0.9748694085660159
17,50.125,-22.125,0.9743861279615161
18,49.875,-21.875,0.97323368959694
19,50.875,-22.125,0.9724530055435174
20,49.375,-21.875,0.9722299529568253
